event_name,stakeholder,text_summary,sentiment,keywords,date,
TikTok Ban debate,Media,"The article frames the proposed U.S.-controlled ownership of a major short-video platform not as a simple business transaction, but as a complex intersection of national security, legal authority, and geopolitical bargaining. Key uncertainties include whether core technologies can be transferred under China’s export controls, whether the arrangement complies with a 2024 bipartisan U.S. law, and whether Congress will accept any continued ties to China. The narrative emphasizes regulatory scrutiny, fears of data access and influence operations, and the use of trade policy as leverage, portraying the case as a test of how digital platforms are governed in an era of strategic rivalry rather than merely a corporate restructuring.",,"questions and potential hurdles
strong reluctance
most valuable asset
export control rules
giving the government a say
fears … could be accessed
spy on Americans
influence operations
no legal authority
scrutinize the latest deal
fully divested
cut all ties with China
limited recourse
unanimously ruled
did not violate
withhold its approval
steep tariffs
remains unclear",2025-9-17,
TikTok Ban debate,Media,"The article frames the TikTok agreement as a politically driven restructuring that blends national security concerns with executive power and geopolitical negotiation. Rather than focusing on technical feasibility, the narrative highlights Trump’s authority to approve the arrangement, the role of elite U.S. investors, and China’s guarded consent. It presents the deal as an attempt to domesticate a foreign platform through governance, surveillance, and ownership control, while raising questions about constitutional limits, market fairness, and whether a “US-only” version can truly replicate the original experience. Overall, the story frames the case as a test of how state power reshapes global digital platforms under strategic rivalry.",,"threaten national security
feared Beijing could force
hand over data
unconstitutional
staggering impact
free speech
unsuccessful legal challenges
no plans to sell
pushed the deadline back
sophisticated investors
most valuable and controversial
trusted security partners
meets the requirements
has not commented publicly
much more guarded
market rules
China’s laws and regulations
strike a balance of interests
open, fair and non-discriminatory
extremely unlikely
without Beijing’s blessing
devastating
reinforced their concerns
no guarantee
the jury’s out
true replicate
powerful algorithm and experience",2025-9-30,
TikTok Ban debate,Media,"The article frames the looming platform ban less as a legal or technical issue and more as a moment of mass user displacement and market reshuffling. The focus is on how audiences, creators, and competitors react under regulatory pressure, portraying the situation as an ecosystem shock that redistributes attention, culture, and influence across rival platforms. By listing alternatives, the narrative emphasizes adaptability, platform competition, and the fragility of digital communities when state decisions abruptly reshape everyday media habits.",,"just days away
unanimously upheld
banning
unusual political agitation
vowed to save
won’t enforce
it’s not clear
biggest influx
looking for something different
flocked in protest
looming ban
gained traction
top downloaded
hailed as the place to go
corporate push
future is also in jeopardy
unlikely to migrate
addictive
surge of scrutiny
undermine
good alternative
get away from the overcrowded spots
could emerge",2025-1-17,
TikTok Ban debate,Government,"The executive order frames TikTok as an urgent national emergency, portraying it as a direct threat to national security, foreign policy and the economy of the United States. It emphasizes vast data collection, potential access by the Chinese Communist Party, and risks of tracking, blackmail, corporate espionage, censorship and disinformation. The tone is authoritative and alarmist, justifying “aggressive action” through emergency powers and prohibitions, and casting the order as a necessary defense to protect Americans and secure the information and communications technology supply chain.",,"national emergency
threaten the national security
foreign policy
economy of the United States
vast swaths of information
access to Americans’ personal and proprietary information
track the locations
build dossiers
blackmail
corporate espionage
censors content
politically sensitive
disinformation campaigns
these risks are real
must take aggressive action
protect our national security",2020-8-6,
TikTok Ban debate,Government,"The committee report frames TikTok as a clear and imminent national security threat posed by a foreign adversary, repeatedly linking the app to espionage, surveillance, data theft, censorship and disinformation. It constructs a narrative of systemic risk in which the Chinese Communist Party is portrayed as using technology companies as tools for control, influence and “digital authoritarianism.” Through references to vast data collection, embedded vulnerabilities and intelligence laws, the text presents danger as both ongoing and unavoidable, justifying urgent legislative intervention. Overall, the framing is alarmist and defensive, casting the bill as a necessary act to protect Americans, democracy and national sovereignty from malign foreign control.",,"clear threat
national security
vast amounts of data
conduct espionage campaigns
push misinformation
disinformation
propaganda
significant threat
foreign adversary
undermine our democracy
digital authoritarianism
deceptive and coercive methods
surrender all its data
espionage tool
steal Americans’ data
surreptitiously transmitting
embedded vulnerabilities
tight interlinkages
take the lead
assist or cooperate
nearly unfettered discretion
theft of trade secrets
security and privacy risks
surveillance and tracking
imminent risks
credible evidence
threatens to impair
massive databases
feeding data directly
track the locations
build dossiers
blackmail
corporate espionage
censors content
politically sensitive
disinformation campaigns
manipulate social discourse
amplify false information
divisive narratives
malign competitor
clandestinely shape narratives
suppressing statements
unacceptable risk
ended one way or another",2024-3-11,
TikTok Ban debate,Public,"The speaker frames the situation with resignation and cautious hope, expressing fatigue with repeated uncertainty while trusting that “people are always gonna migrate” and be fine. TikTok is portrayed less as a political issue and more as a personal and economic space that supports small businesses, creators, and meaningful connections. The tone blends acceptance, optimism, and emotional attachment, downplaying security concerns in favor of community value and the desire for continuity.",,"whatever
fine I'm done
wasting my time
people are migrating
people are going to be fine
always gonna migrate
hope it extends
a great thing
small businesses
make money
chance to spread stories
great stories
connecting with people
hope that it would stay
obviously I don't know
as a fan
hope",2025-1-15,
TikTok Ban debate,Public,"The statement frames TikTok as a direct driver of everyday economic benefit, presenting the platform as a reliable source of visibility and customer conversion. The tone is positive and practical, emphasizing routine impact and personal business growth rather than abstract reach or popularity. Overall, TikTok is positioned as an effective livelihood tool that turns audience attention into real customers.",,"every day
at least two to three customers
have seen me
watched my videos
wanted to become a customer",2024-12-31,
TikTok Ban debate,Public,"The quotes frame the situation through personal frustration and emotional loss, portraying the ban as confusing, disappointing and unfair. TikTok is described as a “beautiful app” that brings people together, enables audience building, and supports business growth, while political leaders are depicted as deflecting responsibility. The tone is disheartened and anxious, emphasizing reliance, uncertainty, and a sense that opportunities earned through effort are being taken away.",,"very frustrated
I’m confused
I’m disappointed
beautiful app
brought so many people together
changed a lot of people’s lives
taken away
so not American
find that audience so much easier
hopes
won’t go dark
don’t really know
extremely optimistic
very disheartening
truly did rely
growth of my business
keep putting the ball
who’s going to make the decision
pull yourself up by the bootstraps
bootstraps are being cut",2025-1-18,
AI regulation EU 2024,Media,"The article frames the EU’s AI Act as a hard-won political compromise that balances innovation with protection, presenting it as both a milestone and a source of controversy. Through reactions from policymakers, industry and civil society, the narrative highlights tensions between preventing overregulation, safeguarding rights, and fears of economic harm. Supportive voices stress responsibility, vigilance and consumer protection, while critics warn of loopholes, rushed lawmaking and “potentially disastrous” consequences. Overall, the framing is mixed but consequential, portraying the Act as a defining step that could either enable trustworthy progress or risk undermining innovation and competitiveness.",,"landmark rules
prevent massive overregulation
safeguard rule of law principles
uphill battle
massive headwind
the devil will be in the detail
highly controversial negotiations
strikes a balance
of the utmost importance
fairly distributing the opportunities and the risks
extremely pleased
remain vigilant
speed seems to have prevailed over quality
potentially disastrous consequences
negative impact
chooses its own path
Chinese surveillance state
huge battle
restricted the use
free and democratic society
constantly following you
huge flaws
loopholes
lack of protection
big gaps
should have hit pause
unintended consequences
poorly conceived legislation
fixing technology is usually much easier than fixing bad laws
innovation race
regulation race
illusion of progress
good news for businesses and society
solid framework
detrimental outcomes
protecting consumers
rapid pace of technological development
protect people's rights",2023-12-09,
AI regulation EU 2024,Media,"The article frames the EU’s consideration of pausing parts of the AI Act as a response to external pressure rather than internal doubt, highlighting “intense pressure” from U.S. authorities and big tech firms and warnings about provoking trade tensions. While the move is presented as part of a pragmatic “simplification process” and engagement with Washington, the narrative also stresses institutional resolve, noting that the Commission remains “fully behind the AI act and its objectives.” Overall, the framing balances vulnerability to geopolitical and corporate influence with an effort to reaffirm commitment to the legislation, conveying tension between flexibility and regulatory steadfastness.",,"intense pressure
urging by tech giants
pressure from the Trump administration
warned against measures
provoke trade tensions
engaging
simplification process
could not immediately verify
did not immediately respond
dismissed calls
rolled out according to the legal timeline
potential delays
various options
fully behind the AI act and its objectives
staggered to come into effect",2025-11-7,
AI regulation EU 2024,Media,"The article frames the EU’s AI Act as a high-stakes and uncertain political contest, with ambitions to lead global regulation “hanging in the balance” amid conflicting demands among member states and lawmakers. It emphasizes urgency and pressure, portraying the talks as a race against time in which failure could see the rules shelved and the EU lose its “first-mover advantage.” Through language of compromise, uncertainty and risk, the narrative presents the negotiations as fragile, with the outcome poised between landmark leadership and missed opportunity.",,"hang in the balance
hammer out a deal
first-of-a-kind
benchmark
run into the early hours
provisional deal
not crucial details
hang in the balance
shelved
losing its first-mover advantage
critical
the world is watching us
conflicting demands
added more uncertainty
differences remain
difficult to clinch
a lot more work to do",2023-12-6,
AI regulation EU 2024,Media,"The article frames the EU’s AI Act as a historic and near-achieved milestone, portraying Europe as “within reach” of becoming a global rule-setter for artificial intelligence. The narrative emphasizes progress, consensus and leadership, with officials celebrating a “world first” and a “perfect balance” between innovation and safety. At the same time, it acknowledges underlying risks and tensions, highlighting concerns over deepfakes, harm and warnings from industry about unclear rules and possible roadblocks. Overall, the framing is cautiously optimistic, presenting the Act as both a protective necessity and a test of Europe’s ability to foster competitive innovation.",,"within reach
moved a step closer
set a global standard
historical
a world first
perfect balance
innovation and safety
major concern
boosted deepfakes
blurring fact and fiction
the harm AI can trigger
responsibility of platforms
important to enforce
foregone conclusion
allow competitive AI models
warned of roadblocks ahead
remain unclear
could slow down
crucial
do not overburden
thriving, highly dynamic market",2024-2-2,
AI regulation EU 2024,Government,"The text frames the AI Act as a historic and confidence-building achievement, portraying the EU as a global pioneer setting the first comprehensive legal framework for artificial intelligence. It emphasizes optimism about AI’s “huge benefits” while asserting strong governmental responsibility to guarantee safety, fundamental rights and European values. Through a risk-based narrative, the Commission presents itself as both enabler of responsible innovation and protector against unacceptable threats, positioning regulation as future-proof, balanced and globally influential. Overall, the framing is celebratory, authoritative and reassuring, projecting leadership, trust and moral stewardship in shaping the AI era.",,"historic moment
huge benefits
first-ever comprehensive legal framework
foster responsible innovation
guaranteeing the safety
fundamental rights
trustworthy AI
human-centric AI
substantial contribution
future-proof
risk-based approach
strict requirements
high level of robustness
clear threat
will be banned
manipulate human behaviour
circumvent users’ free will
unacceptable risk
systemic risks
binding obligations
ensure transparency
support the development
absence of obligations
free-pass
will be fined
clear vision
ecosystem of excellence and trust
international reference point
protect people and businesses",2023-12-9,
AI regulation EU 2024,Government,"The text frames the Commission’s action as proactive economic stewardship, presenting the AI innovation package as a concrete step to turn the AI Act into growth and opportunity for Europe. It emphasizes support, commitment and empowerment of startups and SMEs, portraying government as an enabler that provides resources, access and infrastructure to build “trustworthy AI” aligned with EU values and rules. Overall, the framing is optimistic and promotional, positioning policy as a catalyst for innovation, competitiveness and responsible technological leadership.",,"launched a package of measures
support European startups and SMEs
trustworthy Artificial Intelligence
respects EU values and rules
world's first comprehensive law
support the development, deployment and take-up
new initiative
make Europe's supercomputers available
innovative European AI startups
train their trustworthy AI models
financial support
puts that commitment into practice
broad range of measures
support AI startups and innovation
privileged access
broader innovation community",2024-1-24,
AI regulation EU 2024,Public,"The comment frames the regulation with sarcasm and skepticism, questioning the breadth of the EU’s definition of an “AI system.” By comparing it to a trivial random menu generator, the speaker suggests the law is overinclusive and somewhat absurd, implying that harmless tools could be swept into heavy regulation. Overall, the tone is critical and ironic, positioning the rule as out of touch with practical realities.",,"Funny law
according to their definition
would be an ""ai system""
despite only
randomized lists",2024-2-2,
AI regulation EU 2024,Public,"The statement frames EU copyright rules for AI training as unrealistic and hard to enforce, expressing skepticism about whether approval requirements can work in practice. It highlights perceived gaps between regulation and reality, pointing to widespread unpermitted use of artists’ work and the ease of deleting evidence or producing false positives. Overall, the tone is doubtful and critical, suggesting that the policy is well-intentioned but vulnerable to circumvention and weak enforcement.",,"need approval
let’s see how they fight this
used without permission
evidence can easily be deleted
false positives
similar art
without permission
hard to enforce",2024-2-3,
AI regulation EU 2024,Public,"The statement frames the regulation with heavy sarcasm and resentment, portraying it as protecting powerful corporations while leaving small independent artists exposed. It suggests the rules are unfair and hypocritical, arguing that profit is restricted when using big companies’ property, yet artists’ own work remains “free to use.” Overall, the tone is bitter and accusatory, expressing disillusionment with who really benefits from the policy.",,"congratulations
small independent artists
worked very hard
you now made it illegal
profit off AI work
based on the property
while all the art
remains free to use
like it always has
and always will be",2024-2-6,
Climate Summit 2025,Media,"BBC frames COP30 as a deeply divisive and disappointing moment that exposes the breakdown of global consensus and the limits of the UN climate process. The summit is portrayed less as a step forward and more as a “reality check,” where frustration, anger, and geopolitical power shifts dominate the atmosphere.

The coverage emphasizes failure and missed opportunity: countries were “livid,” talks “teetered on the verge of collapse,” and outcomes were described as “not their finest hour,” especially for Brazil and the European Union. Leaders are depicted as trapped between ambition and political reality, with consensus becoming an obstacle rather than a solution.

BBC also frames the COP process itself as increasingly outdated and disconnected from real-world needs — “from a different era,” “far removed” from people’s lives, and in danger of “losing all relevance.” The narrative suggests procedural fatigue, sleep-deprived negotiations, and symbolic compromises with uncertain legal standing.

At the geopolitical level, the summit is framed as a stage for power shifts: the EU is “cornered” and in “decline,” while China quietly gains influence by “making money in the real world,” and the US strengthens allies by staying away. Overall, COP30 is presented as a sobering moment that reveals erosion of trust, weakened leadership, and a fragile future for global cooperation.",,"deeply divisive
livid
felt vindicated
reality check
broken down
fail to secure
not their finest hour
still afloat
unhappy
frustration
gulf
rupture
short shrift
""Ouch!""
teetered on the verge of collapse
face-saving
heartily applauded
legal standing is uncertain
cornered
power shift
decline
fulminated
achieved very little
future in question
barmy
ridiculous
sleep deprived
doesn't have a clear, powerful purpose
requires retrofitting
far removed
from a different era
lose all relevance
orchestrated
one-sided
unilateral
classic COP compromise
kept a low political profile
making money in the real world
very difficult position",2025-11-23,
Climate Summit 2025,Media,"

BBC frames the COP30 talks as a tense, stalled negotiation dominated by conflict, time pressure, and competing priorities. The summit is portrayed less as a forum for cooperation and more as a battleground of “fights,” “deadlock,” and last-minute bargaining, with talks running through the night and delegates already leaving.

The coverage highlights urgency and dysfunction: deadlines are missed, “the clock is ticking,” and agreement appears fragile under strict UN rules. The process is framed as inherently difficult, shaped by national interests, economic divides, and vulnerability, making overruns almost expected rather than exceptional.

BBC also foregrounds inequality and mistrust between richer and poorer nations. Poorer countries are framed as demanding overdue support, while richer nations are depicted as having “historically underdelivered.” This reinforces a narrative of broken promises and unresolved responsibility.

Brazil is framed ambivalently: ambitious in rhetoric and leadership, calling for a “clear roadmap,” yet under scrutiny for its own plans and contradictions. The overall narrative presents COP30 as a moment of confrontation and uncertainty, where ambition collides with political reality and the outcome remains precarious.",,"

visibly angry
deadlocked
running out
unacceptable
competing priorities
challenging
time is running out
the clock is ticking
opposed
criticised
failing to tackle
underdelivered
repeatedly called for
worst impacts
relatively little responsibility
determined
alive
scrutiny
on course to increase
defended
challenging
a lot of fighting",2025-11-22,
Climate Summit 2025,Media,"BBC frames India at COP30 as being under intense scrutiny and suspicion for delaying its climate action plan, casting the country as both a reluctant participant and a strategic negotiator. The narrative highlights global attention and rising doubt, with India’s delay portrayed as raising concerns rather than confidence.

The coverage stresses the gap between international expectations and India’s stance. While global assessments warn of inadequate action and worsening trajectories, India is framed as pushing back, questioning the effectiveness of “endless discussions” and shifting focus toward responsibility and support from richer nations.

BBC also frames the situation through inequality and contestation: developing countries are depicted as frustrated and demanding fairness, while developed countries are shown as pressing others to “chip in.” This creates a narrative of mutual distrust and competing claims over responsibility and finance.

Overall, India is portrayed as caught between criticism and justification — praised for some progress but increasingly associated with insufficiency, over-dependence, and delay — leaving its credibility and future commitments uncertain as the summit unfolds.",,"all eyes are on
worryingly inadequate
kept the world guessing
inviting negative press
planet's distress signal grows louder
endless discussions
action is imperative
angry reactions
demanding more than
no clarity
will burden
pushing for
shouldn't be pressed
highly insufficient
slipped 13 spots
over-dependence
still anchored
no exit timeline
continue to be auctioned
highest increase
raises eyebrows",2025-11-21,
Climate Summit 2025,Government,"The government framing presents the UN Climate Summit 2025 as a moment of renewed resolve and collective momentum, despite acknowledging division and worsening impacts. Leaders are depicted as standing together to show that determination to fight the climate crisis is “alive and strong,” emphasizing unity, multilateralism and international cooperation.

The narrative stresses progress and opportunity: new low-carbon and climate-resilient economies are framed as drivers of growth, jobs and improved outcomes, with renewables described as the cheapest and fastest growing option. At the same time, the tone recognises urgency and insufficiency, admitting that current efforts are “not happening fast enough” and that existing targets “will not be sufficient” to keep goals within reach.

The framing is strongly forward-looking and mobilising. Leaders call for boldness, credible response plans and a “decade of delivery, implementation and acceleration,” portraying COP30 as a decisive test of trust in science and political courage.

Overall, the government perspective balances optimism with warning: progress is accelerating and solutions exist, but gaps remain and much greater ambition, support and collective action are required to close them.",,"worsening impacts
uncertainty and division
alive and strong
enduring commitment
step forward
not sufficient
not happening fast enough
highly concentrated
strong emphasis
critical input
urgent action
rapidly shrinking
be bold
significant opportunities
overwhelming effort
urgent need
significant climate finance gap
positive step
resolve and determination
much greater ambition
credible plan
decade of accelerated implementation",2025-09,
Climate Summit 2025,Government,"The government framing by the UN Secretary-General presents the summit as a moment of collective mobilization coupled with stark urgency. The tone acknowledges unity and progress, stressing that countries “came together” to drive action forward and highlighting the scale of participation.

At the same time, the message is deliberately blunt about insufficiency. Progress is framed as “not enough,” with science positioned as the ultimate authority that makes the need for stronger action undeniable. The narrative shifts from celebration to warning.

COP30 is framed as a critical inflection point — a “turning point” and the start of a “decisive decade of acceleration.” The emphasis is not on negotiation, but on urgency, ambition, and momentum, calling leaders to raise their efforts dramatically.

Overall, this framing combines reassurance of unity with a rallying call: collective action has begun, but only far greater ambition can keep goals within reach.",,"came together
drive forward
not enough
science is clear
far greater ambition
within reach
turning point
decisive decade
acceleration",2025-10-2,
Climate Summit 2025,Government,"The government framing in the Solutions Dialogues presents COP30 as a moment to shift from negotiation to implementation, emphasizing urgency, cooperation, and delivery at scale. The narrative is strongly solution-oriented, portraying action as feasible because resources, technologies, and tools “already exist,” while stressing that what is missing is speed, scale, and integration.

The tone combines optimism with pressure. The global transition is framed as “ongoing and irreversible,” offering opportunities for leadership and shared prosperity, yet repeatedly described as too slow, fragmented, and constrained by bottlenecks, especially in finance. Equity, justice, and inclusion are framed as central, positioning climate action as inseparable from development and fairness.

Across dialogues, the framing highlights crisis and risk — extreme heat as a “silent killer,” adaptation as “a matter of survival,” and communities being left exposed — to justify accelerated and coordinated responses. COP30 is cast as a “critical moment” and “pivotal opportunity” to close gaps and galvanize commitments.

Overall, the government perspective frames climate action as both an imperative and an opportunity: urgent, collective mobilization is required to turn ambition into implementation, with cooperation, innovation, and finance as decisive enablers for transformation.",,"irreversible
what is missing
speed and scale
fragmented
sharpest bottleneck
critical enablers
global mobilization
silent killer
urgent, coordinated action
matter of survival
too slow
too small
too fragmented
far greater
exposed
pivotal opportunity
transformational
main barrier
decisive frontier
too slow
fastest lever
progress remains too slow
urgent need
critical moment",2025-09,
Climate Summit 2025,Public,"The social media framing outright rejects the legitimacy of climate action and reframes the issue as deception and political control rather than an environmental problem. The speaker denies the existence of any crisis and accuses others of deliberately misleading the public.

The narrative casts the situation as an authoritarian threat, portraying climate discourse as a tool of “top down” power and “totalitarian” governance. This shifts the frame from policy debate to moral conflict between ordinary people and an oppressive system.

The tone is confrontational and mobilizing. Rather than calling for negotiation or reform, it urges collective resistance, framing the audience as needing to “rise up” and “fight back.”

Overall, this framing is driven by distrust, denial, and antagonism, positioning climate action as an enemy to freedom and presenting resistance as a moral duty.",,"no crisis
stop lying
lying to people
top down
totalitarian
need to rise up
fight back",2025-11-13,
Climate Summit 2025,Public,"The social media framing portrays Europe’s climate stance as hypocritical and self-defeating, attacking it as moral posturing rather than practical policy. The narrative frames emissions cuts not as progress, but as a source of ridicule and decline.

The speaker casts Europe as a “laughing stock,” arguing that climate policies have “impoverished” people and undermined competitiveness. The framing shifts the issue from environmental responsibility to economic loss and global weakness.

Pride is expressed not in leadership, but in reduced emissions paired with resentment, suggesting that sacrifice has brought no reward. The tone is accusatory and urgent, challenging leaders and the public to “realize” the damage being done.

Overall, this framing is driven by grievance and frustration, positioning climate ambition as the cause of economic erosion and loss of global standing.",,"moral grandstand
laughing stock
impoverished
losing the manufacturing race
losing the AI race
be proud
when will you realize",2025-11-13,
Climate Summit 2025,Public,"The social media framing attacks COP30 with moral outrage and accusations of hypocrisy. The speaker portrays summit participants as corrupt elites who damage local environments while lecturing others, reframing climate action as performative and dishonest.

The narrative contrasts powerful outsiders with local communities, suggesting injustice and double standards: elites “bulldozed” land and arrived in “private jets,” only to blame ordinary people for everyday practices. This casts climate governance as detached from reality and hostile to locals.

The tone is openly hostile, sarcastic, and contemptuous, using insults and vivid imagery to delegitimize both the actors and the cause. Rather than debating policy, the framing seeks to provoke anger and ridicule.

Overall, this framing positions COP30 as elite hypocrisy and exploitation, driven by resentment and distrust toward authority and international institutions.",,"literally bulldozed
private jets
tell the local tribesman
need to fart less
save the planet",2025-11-13,
